destination_name,destination_type,jurisdiction_country,jurisdiction_state,jurisdiction_county,jurisdiction_city,categories_handled,intake_method,complaint_url,email,phone,mailing_address_line1,mailing_address_line2,mailing_address_city,mailing_address_state,mailing_address_postal_code,source_url,last_verified_date,trust_level,notes_required_fields,notes_required_documents,incident_categories,business_types,priority_weight,exclusions,reason_template
Alaska Consumer Complaint,state_agency,US,AK,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.law.alaska.gov/department/civil/consumer/cpindex.html,,+1-888-576-2529,,,,,,https://www.law.alaska.gov/department/civil/consumer/cpindex.html,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Alaska.
Alabama Consumer Complaint,state_agency,US,AL,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.alabamaag.gov/consumer-complaint/,,+1-800-392-5658,,,,,,https://www.alabamaag.gov/consumer-complaint/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Alabama.
Arkansas Consumer Complaint,state_agency,US,AR,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://arkansasag.gov/divisions/public-protection/consumer-protection/,,+1-800-482-8982,,,,,,https://arkansasag.gov/divisions/public-protection/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Arkansas.
Arizona Consumer Complaint,state_agency,US,AZ,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://consumer-complaint.azag.gov/,,+1-602-542-5763,,,,,,https://www.azag.gov/complaints/consumer,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Arizona.
California Consumer Complaint,state_agency,US,CA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.oag.ca.gov/contact/consumer-complaint-against-business-or-company,,+1-800-952-5225,,,,,,https://www.oag.ca.gov/consumers,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in California.
Colorado Consumer Complaint,state_agency,US,CO,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://coag.gov/office-sections/consumer-protection/,,+1-720-508-6000,,,,,,https://coag.gov/office-sections/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Colorado.
Connecticut Consumer Complaint,state_agency,US,CT,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://portal.ct.gov/dcp/file-a-complaint,DCP.complaints@ct.gov,+1-800-842-2649,,,,,,https://portal.ct.gov/dcp,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Connecticut.
District of Columbia Consumer Complaint,state_agency,US,DC,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://oag.dc.gov/consumer-protection,consumer.protection@dc.gov,+1-202-442-9828,,,,,,https://oag.dc.gov/consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in the District of Columbia.
Delaware Consumer Complaint,state_agency,US,DE,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://attorneygeneral.delaware.gov/fraud/cpu/,consumer.protection@delaware.gov,+1-800-220-5424,,,,,,https://attorneygeneral.delaware.gov/fraud/cpu/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Delaware.
Florida Consumer Complaint,state_agency,US,FL,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.fdacs.gov/Consumer-Resources/File-a-Complaint,,+1-800-435-7352,,,,,,https://www.fdacs.gov/Divisions-Offices/Consumer-Services,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Florida.
Georgia Consumer Complaint,state_agency,US,GA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://consumer.georgia.gov/,,+1-800-869-1123,,,,,,https://consumer.georgia.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Georgia.
Hawaii Consumer Complaint,state_agency,US,HI,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://cca.hawaii.gov/ocp/,,+1-844-808-3222,,,,,,https://cca.hawaii.gov/ocp/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Hawaii.
